27444;LE NOYER EN OUCHE;27410;;LE NOYER EN OUCHE;49.006498693,0.762395413
02522;MONT ST JEAN;02360;;MONT ST JEAN;49.792702607,4.210227315
27288;GLOS SUR RISLE;27290;;GLOS SUR RISLE;49.272880078,0.684320663
27458;PITRES;27590;;PITRES;49.3309878,1.2176179999999999
02540;NESLES LA MONTAGNE;02400;;NESLES LA MONTAGNE;48.999750332,3.44605178
27299;GRAVIGNY;27930;;GRAVIGNY;49.052057123,1.159934841
27486;QUITTEBEUF;27110;;QUITTEBEUF;49.107203139,1.005961393
02558;LE NOUVION EN THIERACHE;02170;;LE NOUVION EN THIERACHE;50.008566787,3.809358313
27302;LE BOSC DU THEIL;27370;ST NICOLAS DU BOSC;LE BOSC DU THEIL;49.215652674,0.8508141640000001
27488;RENNEVILLE;27910;;RENNEVILLE;49.396431628,1.32625696
02572;ORAINVILLE;02190;;ORAINVILLE;49.375881407,4.016154951
27327;HECTOMARE;27110;;HECTOMARE;49.192492209,0.944890125
27502;RUGLES;27250;;RUGLES;48.816122326,0.691434336
02583;PANCY COURTECON;02860;;PANCY COURTECON;49.46035579,3.649818372
27332;HEUDEBOUVILLE;27600;;HEUDEBOUVILLE;49.192430563,1.236824538
27516;TREIS SANTS EN OUCHE;27300;ST AUBIN LE VERTUEUX;TREIS SANTS EN OUCHE;49.059907621,0.62630643
02585;PARCY ET TIGNY;02210;;PARCY ET TIGNY;49.270195121,3.329041936
27349;ILLEVILLE SUR MONTFORT;27290;;ILLEVILLE SUR MONTFORT;49.31991774,0.7094817170000001
27529;ST CYR LA CAMPAGNE;27370;;ST CYR LA CAMPAGNE;49.250677583,1.020428463
02590;PARGNY LA DHUYS;02330;;PARGNY LA DHUYS;48.954292173,3.563228277
27361;LA LANDE ST LEGER;27210;ST LEGER SUR BONNEVILLE;LA LANDE ST LEGER;49.297401804,0.33534803900000004
27533;ST DENIS LE FERMENT;27140;ST PAER;ST DENIS LE FERMENT;49.322389877,1.7180711610000001
02592;PARPEVILLE;02240;;PARPEVILLE;49.794619132,3.564481061
27376;LOUYE;27650;;LOUYE;48.796725313,1.319651219
27553;ST JULIEN DE LA LIEGUE;27600;;ST JULIEN DE LA LIEGUE;49.140441058,1.286344423
02614;PONTRU;02490;;PONTRU;49.921756607,3.201133478
27386;LE MANOIR;27460;;LE MANOIR;49.317269512,1.199900666
27565;LE LESME;27160;GUERNANVILLE;LE LESME;48.908432809,0.845422172
02631;QUIERZY;02300;;QUIERZY;49.563631845,3.145865705
27396;MENESQUEVILLE;27850;;MENESQUEVILLE;49.357541512,1.406610874
27572;ST MESLIN DU BOSC;27370;;ST MESLIN DU BOSC;49.216027505,0.878103112
02635;RAMICOURT;02110;;RAMICOURT;49.957525693,3.331782817
27400;MEREY;27640;;MEREY;48.958232997,1.392768932
27590;ST PIERRE DE CERNIERES;27390;;ST PIERRE DE CERNIERES;48.931294053,0.519534045
02638;REMIES;02270;;REMIES;49.679263799,3.524325487
27414;MONTREUIL L ARGILLE;27390;;MONTREUIL L ARGILLE;48.93944599,0.46797293500000003
27598;ST PIERRE DU VAUVRAY;27430;;ST PIERRE DU VAUVRAY;49.223182781,1.218118734
02645;REUILLY SAUVIGNY;02850;;REUILLY SAUVIGNY;49.050587059,3.564133226
27417;MORGNY;27150;;MORGNY;49.377675386,1.579251935
27613;ST VINCENT DU BOULAY;27230;;ST VINCENT DU BOULAY;49.100685327,0.48826821800000003
02659;ROUVROY;02100;;ROUVROY;49.858092929,3.331744141
27427;NEAUFLES AUVERGNY;27250;;NEAUFLES AUVERGNY;48.874702476,0.744632052
27625;SUZAY;27420;;SUZAY;49.270068424,1.51340835
02665;GRAND ROZOY;02210;;GRAND ROZOY;49.242203724,3.381275737
27439;NORMANVILLE;27930;;NORMANVILLE;49.072598855,1.161583866
27629;THIBERVILLE;27230;;THIBERVILLE;49.13211117,0.44002919300000004
02678;STE GENEVIEVE;02340;;STE GENEVIEVE;49.72464288,4.073783258
